Date,Close,Open,High,Low,Change %
2017-05-31,13322.5,13311.5,13323.5,13310.5,-0.01
2017-06-01,13322.5,13322.5,13322.5,13322.5,0.0
2017-06-02,13304.0,13301.0,13314.0,13301.0,-0.14
2017-06-05,13286.0,13291.0,13291.0,13276.0,-0.14
2017-06-06,13298.0,13286.0,13298.0,13276.0,0.09
2017-06-07,13304.0,13306.0,13311.0,13301.0,0.05
2017-06-08,13298.0,13317.0,13322.0,13292.0,-0.05
2017-06-09,13291.5,13301.5,13306.5,13284.5,-0.05
2017-06-12,13298.0,13281.0,13299.0,13281.0,0.05
2017-06-13,13291.5,13296.5,13296.5,13288.5,-0.05
2017-06-14,13282.5,13287.5,13290.5,13282.5,-0.07
2017-06-15,13286.0,13277.0,13286.0,13272.0,0.03
2017-06-16,13297.5,13297.5,13302.5,13281.5,0.09
2017-06-19,13289.0,13291.0,13291.0,13281.0,-0.06
2017-06-20,13288.5,13295.5,13301.5,13288.5,0.0
2017-06-21,13318.5,13306.5,13321.5,13293.5,0.23
2017-06-22,13327.5,13310.5,13327.5,13307.5,0.07
2017-06-23,13327.5,13327.5,13327.5,13327.5,0.0
2017-06-26,13327.5,13327.5,13327.5,13327.5,0.0
2017-06-27,13327.5,13327.5,13327.5,13327.5,0.0
2017-06-28,13327.5,13327.5,13327.5,13327.5,0.0
2017-06-29,13327.5,13327.5,13327.5,13327.5,0.0
2017-06-30,13327.5,13327.5,13327.5,13327.5,0.0
2017-07-03,13367.5,13302.5,13375.5,13302.5,0.3
2017-07-04,13363.5,13386.5,13391.5,13356.5,-0.03
2017-07-05,13364.0,13351.0,13364.0,13341.0,0.0
2017-07-06,13388.0,13366.0,13388.0,13360.0,0.18
2017-07-07,13403.0,13381.0,13411.0,13376.0,0.11
2017-07-10,13399.0,13398.0,13413.0,13393.0,-0.03
2017-07-11,13391.0,13386.0,13401.0,13381.0,-0.06
2017-07-12,13369.5,13370.5,13372.5,13358.5,-0.16
2017-07-13,13347.5,13349.5,13349.5,13329.5,-0.16
2017-07-14,13338.5,13336.5,13349.5,13336.5,-0.07
2017-07-17,13327.5,13302.5,13331.5,13302.5,-0.08
2017-07-18,13309.0,13316.0,13319.0,13301.0,-0.14
2017-07-19,13318.0,13296.0,13321.0,13296.0,0.07
2017-07-20,13334.5,13314.5,13337.5,13312.5,0.12
2017-07-21,13312.5,13319.5,13325.5,13309.5,-0.16
2017-07-24,13310.0,13315.0,13321.0,13306.0,-0.02
2017-07-25,13326.0,13312.0,13326.0,13311.0,0.12
2017-07-26,13336.0,13331.0,13341.0,13329.0,0.08
2017-07-27,13318.0,13311.0,13321.0,13310.0,-0.13
2017-07-28,13326.5,13315.5,13330.5,13315.5,0.06
2017-07-31,13325.0,13323.0,13327.0,13321.0,-0.01
2017-08-01,13324.0,13316.0,13324.0,13311.0,-0.01
2017-08-02,13324.0,13323.0,13334.0,13321.0,0.0
2017-08-03,13325.5,13328.5,13331.5,13325.5,0.01
2017-08-04,13316.0,13322.0,13325.0,13313.0,-0.07
2017-08-07,13321.0,13319.0,13322.0,13316.0,0.04
2017-08-08,13313.0,13320.0,13320.0,13301.0,-0.06
2017-08-09,13332.5,13320.5,13333.5,13318.5,0.15
2017-08-10,13334.0,13339.0,13351.0,13334.0,0.01
2017-08-11,13357.5,13362.5,13377.5,13352.5,0.18
2017-08-14,13349.0,13347.0,13352.0,13337.0,-0.06
2017-08-15,13361.0,13348.0,13361.0,13341.0,0.09
2017-08-16,13378.5,13356.5,13381.5,13356.5,0.13
2017-08-17,13378.5,13378.5,13378.5,13378.5,0.0
2017-08-18,13362.0,13361.0,13370.0,13356.0,-0.12
2017-08-21,13350.5,13354.5,13359.5,13347.5,-0.09
2017-08-22,13343.0,13341.0,13347.0,13334.0,-0.06
2017-08-23,13358.5,13333.5,13362.5,13333.5,0.12
2017-08-24,13346.5,13347.5,13355.5,13340.5,-0.09
2017-08-25,13345.5,13335.5,13348.5,13335.5,-0.01
2017-08-28,13340.0,13333.0,13341.0,13331.0,-0.04
2017-08-29,13339.5,13341.5,13349.5,13335.5,0.0
2017-08-30,13346.5,13339.5,13348.5,13339.5,0.05
2017-08-31,13343.0,13346.0,13353.0,13337.0,-0.03
2017-09-01,13343.0,13343.0,13343.0,13343.0,0.0
2017-09-04,13342.5,13341.5,13346.5,13336.5,0.0
2017-09-05,13337.5,13335.5,13340.5,13330.5,-0.04
2017-09-06,13337.5,13334.5,13340.5,13334.5,0.0
2017-09-07,13306.5,13333.5,13333.5,13305.5,-0.23
2017-09-08,13204.0,13294.0,13294.0,13204.0,-0.77
2017-09-11,13162.5,13187.5,13187.5,13137.5,-0.31
2017-09-12,13195.0,13195.0,13227.0,13180.0,0.25
2017-09-13,13202.5,13206.5,13214.5,13198.5,0.06
2017-09-14,13249.5,13230.5,13249.5,13230.5,0.36
2017-09-15,13240.0,13262.0,13269.0,13230.0,-0.07
2017-09-18,13255.0,13245.0,13257.0,13235.0,0.11
2017-09-19,13278.5,13258.5,13278.5,13253.5,0.18
2017-09-20,13281.5,13277.5,13284.5,13265.5,0.02
2017-09-21,13281.5,13281.5,13281.5,13281.5,0.0
2017-09-22,13312.5,13327.5,13342.5,13307.5,0.23
2017-09-25,13326.0,13296.0,13326.0,13296.0,0.1
2017-09-26,13376.5,13341.5,13381.5,13341.5,0.38
2017-09-27,13440.0,13385.0,13440.0,13370.0,0.47
2017-09-28,13515.0,13427.0,13555.0,13427.0,0.56
2017-09-29,13471.5,13476.5,13496.5,13446.5,-0.32
2017-10-02,13537.5,13477.5,13577.5,13477.5,0.49
2017-10-03,13542.5,13587.5,13587.5,13535.5,0.04
2017-10-04,13476.5,13496.5,13496.5,13456.5,-0.49
